"Comment","Designator","Footprint","LCSC Part #"
"Micro_SD_Card","J1","","-"
"MIDI_IN","J3","","-"
"MIDI_OUT","J4","","-"
"CV_IN1","J5","","-"
"B10k","RV4 RV5 RV3 RV6 RV12 RV10 RV11 RV9","","-"
"CV_IN2","J9","","-"
"B200k","RV7 RV1 RV8 RV2","","-"
"CV_IN4","J10","","-"
"CV_IN3","J6","","-"
"CV_IN6","J11","","-"
"CV_IN5","J7","","-"
"CV_IN8","J12","","-"
"CV_IN7","J8","","-"
"Sloth_Terminal","J23","",""
"L_OUT","J15","","-"
"R_OUT","J16","","-"
"L_IN","J13","","-"
"R_IN","J14","","-"
"GATE_IN1","J17","","-"
"GATE_IN2","J19","","-"
"GATE_OUT1","J18","","-"
"GATE_OUT2","J20","","-"
"CV_OUT1","J21","","-"
"CV_OUT2","J22","","-"
"LED_Dual_ACA","LED1 LED2 LED3 LED4","","-"
"TL1105SP","SW4 SW2 SW3 SW1","","C273530"
