"Comment","Designator","Footprint","LCSC Part #"
"STM32F4DISCOVERY","STM32F4","","-"
"CODECODER-WM8731SEDS_V(SSOP28)","U1","","C41511"
"100nF","C6 C4 C5 C2 C12 C18 C13 C23 C20 C24 C27 C25 C26 C28 C29 C31 C32 C30 C41 C42 C47 C48 C53 C54 C55 C56","","C14663"
"33","R6 R7 R1 R2 R3 R4 R5","","C23140"
"12.288MHz","Y1","","C295090"
"18pF","C8 C7","","C1647"
"4.7k","R9 R8","","C23162"
"10uF","C1 C10 C3 C9 C11 C19 C22 C16 C17","","C13585"
"Jumper_NO_Small","JP1 JP2","","-"
"47k","R10 R11 R12 R13 R14 R67 R68 R78 R80 R83 R85","","C25819"
"23LC1024-I_SN","U2","","C261881"
"10k","R15 R69 R70 R65 R66 R96 R97 R95 R98","","C25804"
"EURORACK_POWER","J2","","-"
"1N5819","D1 D2 D3 D4 D5 D6","","C191023"
"47uF","C14 C15","","C178505"
"820","R16","","C23253"
"LM4040DBZ-10","U3","","C201738"
"100 ohm @ 100 Mhz","FB1 FB2 FB3","","C1015"
"LM1117-3.3","U5","","C24253"
"10nF","C21","","C57112"
"LM1117-5.0","U4","","C6187"
"220","R17","","C22962"
"470","R18 R103 R104 R105 R106 R107 R108 R109 R110","","C23179"
"47","R20 R19","","C23182"
"6N137","U6","","C110020"
"100k","R32 R31 R27 R25 R50 R47 R45 R41 R42 R54 R48 R46 R43 R44 R34 R28 R26 R23 R24 R52 R30 R56 R36 R33 R29 R35 R55 R51 R53 R49 R62 R64 R63 R61 R77 R82 R93 R89","","C25803"
"30k","R38 R57 R59 R39 R58 R37 R60 R40 R92 R88","","C22984"
"1nF","C34 C37 C39 C35 C38 C33 C40 C36","","C1588"
"100k (or 47k)","R21 R22","","C25803"
"MCP6002-xSN","U8 U10 U11 U12","","C7377"
"TL072","U7 U9 U14 U13 U15 U16","","C6961"
"10uF","C45 C49 C50 C46","","C249817"
"56k","R71 R72","","C23206"
"1k","R73 R74 R79 R86 R90 R94 R100 R101 R99 R102","","C21190"
"220pF","C51 C52 C43 C44","","C1603"
"MMBT3904","Q1 Q2","","C20526"
"120k","R76 R84","","C25808"
"51k","R75 R81","","C23196"
"200k","R91 R87","","C25811"
"100pF","C58 C57","","C14858"
"470nF","C60 C61 C59 C62","","C1623"
