"Designator","Mid X","Mid Y","Layer","Rotation"
"D6","230.166mm","-121.2505mm","top","180.0"
"D5","230.166mm","-123.248mm","top","0.0"
"D4","226.8595mm","-121.245mm","top","0.0"
"D3","226.8595mm","-123.248mm","top","180.0"
"D2","142.1454mm","-56.0195mm","top","270.0"
"D1","142.1454mm","-51.1695mm","top","90.0"
"U2","183.306mm","-84.5505mm","top","0.0"
"C17","146.4564mm","-79.1464mm","top","0.0"
"C16","141.732mm","-71.7296mm","top","0.0"
"U4","139.6492mm","-76.5556mm","top","0.0"
"STM32F4","183.388mm","-98.4516mm","top","180.0"
"U11","201.5744mm","-77.597mm","top","0.0"
"C22","138.176mm","-95.504mm","top","180.0"
"C19","141.0208mm","-82.296mm","top","0.0"
"C11","223.393mm","-62.865mm","top","0.0"
"C10","152.5524mm","-111.8108mm","top","0.0"
"C9","151.1808mm","-124.4092mm","top","0.0"
"C3","137.41mm","-125.074mm","top","180.0"
"C1","136.398mm","-109.5375mm","top","90.0"
"C21","140.6525mm","-99.5045mm","top","180.0"
"U5","137.7696mm","-86.106mm","top","180.0"
"C60","164.306mm","-118.041mm","top","90.0"
"C59","177.069mm","-118.104mm","top","90.0"
"C61","189.706mm","-118.104mm","top","90.0"
"C62","202.406mm","-118.104mm","top","90.0"
"C56","170.126mm","-147.06mm","top","90.0"
"C55","166.274mm","-135.25mm","top","90.0"
"C57","164.369mm","-134.805mm","top","90.0"
"C58","164.686mm","-147.314mm","top","270.0"
"C54","177.25mm","-134.85mm","top","270.0"
"C53","181.95mm","-147.35mm","top","270.0"
"C48","156.15mm","-134.85mm","top","270.0"
"C47","160.05mm","-147.35mm","top","270.0"
"C42","142.25mm","-134.85mm","top","270.0"
"C41","146.05mm","-147.35mm","top","270.0"
"C44","156.241mm","-147.3145mm","top","90.0"
"C52","142.212mm","-147.35mm","top","90.0"
"C43","160.75mm","-134.85mm","top","270.0"
"C51","146.335mm","-134.85mm","top","90.0"
"C40","165.697mm","-83.593mm","top","270.0"
"C39","166.142mm","-63.146mm","top","270.0"
"C38","204.432mm","-83.5295mm","top","270.0"
"C32","167.163mm","-79.687mm","top","90.0"
"C31","205.072mm","-79.6235mm","top","90.0"
"C36","165.57mm","-71.7185mm","top","90.0"
"C35","165.316mm","-51.3985mm","top","90.0"
"C33","204.368mm","-71.655mm","top","90.0"
"C30","167.671mm","-59.3035mm","top","90.0"
"C29","201.3585mm","-135.376mm","top","270.0"
"C28","205.898mm","-147.251mm","top","270.0"
"C37","204.368mm","-63.273mm","top","270.0"
"C26","222.218mm","-135.376mm","top","270.0"
"C27","205.009mm","-59.367mm","top","90.0"
"C25","226.028mm","-147.251mm","top","270.0"
"C34","204.368mm","-51.3985mm","top","90.0"
"C24","222.6mm","-101.15mm","top","0.0"
"C23","140.714mm","-93.5355mm","top","0.0"
"C18","145.8468mm","-77.1144mm","top","0.0"
"C13","151.511mm","-59.971mm","top","270.0"
"C20","140.651mm","-101.208mm","top","180.0"
"C12","184.3715mm","-89.085mm","top","180.0"
"C4","137.384mm","-123.042mm","top","180.0"
"C5","151.161mm","-122.422mm","top","0.0"
"C8","142.21mm","-110.431mm","top","180.0"
"C7","145.663mm","-110.431mm","top","0.0"
"C2","136.048mm","-112.644mm","top","0.0"
"C6","151.923mm","-113.786mm","top","0.0"
"JP2","139.16mm","-111.12mm","top","270.0"
"JP1","148.684mm","-111.12mm","top","270.0"
"Y1","144.7165mm","-105.8545mm","top","180.0"
